run_id,episode_id,state_encoding
00000001,0,"0.01721942238509655,0.7041332721710205,0.2676027715206146,0.572153627872467,0.3009049892425537,0.41630300879478455,0.3176732063293457,0.11420360207557678,0.5989744663238525,0.31412991881370544,0.3538297116756439,0.9431235194206238,0.187889963388443,0.6122991442680359,0.05451473593711853,0.34169802069664,0.6747114658355713,0.31314048171043396,0.9941611886024475,0.4130915105342865,0.8265697360038757,0.007471247110515833,0.021020112559199333,0.24160726368427277,0.413244366645813,0.35996657609939575,0.059758227318525314,0.9515036344528198,0.5465325713157654,0.2575565278530121,0.7000109553337097,0.8818995952606201,0.5840080976486206,0.5253912210464478,0.6752025485038757,0.5671123266220093,0.40544259548187256,0.7622404098510742,0.04250309243798256,0.6523556113243103,0.1486140936613083,0.17761117219924927,0.8883474469184875,0.7178795337677002,0.6935228705406189,0.6302855610847473,0.6164246797561646,0.05468515306711197,0.9122273921966553,0.32197314500808716,0.9762942790985107,0.00820817332714796,0.1495809555053711,0.7946410775184631,0.6093173027038574,0.3322159945964813,0.7811650633811951,0.1769307553768158,0.11734914034605026,0.13943341374397278,0.35472655296325684,0.983729898929596,0.13821645081043243,0.9598532319068909,0.3760056495666504,0.2717329263687134,0.022438881918787956,0.39400017261505127,0.9991015195846558,0.7786118984222412,0.6919911503791809,0.35340067744255066,0.11425695568323135,0.3242223560810089,0.7466108798980713,0.17594002187252045,0.43984028697013855,0.588219940662384,0.3027949631214142,0.16227859258651733,0.04285966977477074,0.6474640965461731,0.652915358543396,0.1955554485321045,0.6680101156234741,0.23959220945835114,0.032092634588479996,0.48674988746643066,0.25887927412986755,0.3658139109611511,0.003867276944220066,0.47480443120002747,0.804317831993103,0.38992902636528015,0.44372254610061646,0.4432377517223358,0.7036198377609253,0.5972579717636108,0.23627153038978577,0.32646986842155457,0.964221715927124,0.8753323554992676,0.10305960476398468,0.41413262486457825,0.9849257469177246,0.671066403388977,0.39519187808036804,0.6723192930221558,0.526589035987854,0.09000318497419357,0.14925216138362885,0.9233233332633972,0.3671945631504059,0.6798989176750183,0.5807594060897827,0.6307151317596436,0.011585579253733158,0.11001656949520111,0.5706140398979187,0.1437835693359375,0.1872287392616272,0.9046896696090698,0.8535868525505066,0.5603668689727783,0.46209287643432617,0.7889930009841919,0.47563815116882324,0.2389489859342575,0.26878654956817627,0.8482023477554321,0.12968815863132477,0.20502565801143646,0.16126903891563416,0.8132715821266174,0.7892754077911377,0.1613408923149109,0.05719636380672455,0.8766488432884216"
00000001,1,"0.5553847551345825,0.4117784798145294,0.029952917248010635,0.47883927822113037,0.5814458727836609,0.9766704440116882,0.43219801783561707,0.42965051531791687,0.8429722785949707,0.3874029815196991,0.9115086197853088,0.7160837650299072,0.5892026424407959,0.14278660714626312,0.3263963460922241,0.15814253687858582,0.03722205013036728,0.1408281922340393,0.2506415843963623,0.37114131450653076,0.4060382544994354,0.04408134147524834,0.29094499349594116,0.309567391872406,0.024287015199661255,0.6673669219017029,0.510455310344696,0.04342611879110336,0.7123239040374756,0.8457749485969543,0.8156629204750061,0.5611346364021301,0.3501402735710144,0.8898903131484985,0.7514510154724121,0.7752768397331238,0.01551566831767559,0.6512531638145447,0.5411167144775391,0.047562841325998306,0.21613995730876923,0.37866079807281494,0.1011912003159523,0.8946032524108887,0.6498211026191711,0.3672216534614563,0.7573704719543457,0.7041190266609192,0.3169286847114563,0.32814183831214905,0.6148740649223328,0.6031153202056885,0.6564784049987793,0.24328570067882538,0.7350838780403137,0.8247153162956238,0.5452385544776917,0.19133296608924866,0.23732057213783264,0.2935856878757477,0.5837133526802063,0.27833008766174316,0.05301053449511528,0.43383848667144775,0.1752588152885437,0.9730567336082458,0.8676930665969849,0.5012328028678894,0.16324566304683685,0.6628552079200745,0.8535618185997009,0.15084514021873474,0.40184423327445984,0.7656556963920593,0.13395854830741882,0.8296727538108826,0.019088929519057274,0.5202573537826538,0.3079991936683655,0.7061554789543152,0.7558874487876892,0.52046138048172,0.7403768301010132,0.3047427237033844,0.0038086080458015203,0.6974326968193054,0.6148300170898438,0.6610301733016968,0.7255737781524658,0.8808344602584839,0.2639288604259491,0.38810262084007263,0.22713589668273926,0.992608904838562,0.9103966951370239,0.4741533696651459,0.2228682041168213,0.5447951555252075,0.8169077634811401,0.36647817492485046,0.8399112820625305,0.7200421690940857,0.6639460325241089,0.5462179183959961,0.7500505447387695,0.05846518278121948,0.23779235780239105,0.22647099196910858,0.3743138313293457,0.771487832069397,0.2720646858215332,0.5139108896255493,0.5995708107948303,0.7587336301803589,0.21613818407058716,0.3953855335712433,0.2910674214363098,0.7780702710151672,0.546064555644989,0.8931244611740112,0.7938182353973389,0.28668561577796936,0.07804994285106659,0.5189642310142517,0.9797229766845703,0.9322511553764343,0.9330178499221802,0.9544795155525208,0.2646139860153198,0.5883461236953735,0.7057552337646484,0.6181918382644653,0.6886906623840332,0.6032832860946655,0.7327020168304443,0.7892507910728455,0.24600081145763397,0.40899038314819336"
00000001,2,"0.9816609621047974,0.720292329788208,0.7465891242027283,0.7448405623435974,0.28464198112487793,0.46635425090789795,0.6449947953224182,0.7485377788543701,0.20996589958667755,0.09705061465501785,0.8145831227302551,0.6763743758201599,0.16768284142017365,0.8301429748535156,0.4972080588340759,0.09594067186117172,0.6088510155677795,0.9753287434577942,0.06192704662680626,0.15151165425777435,0.4195847809314728,0.5350955128669739,0.5198607444763184,0.5507368445396423,0.13921815156936646,0.31137555837631226,0.7082676887512207,0.7209573984146118,0.684962272644043,0.2033165842294693,0.09919054061174393,0.9422279596328735,0.9424687623977661,0.6604773998260498,0.9214034080505371,0.3026750385761261,0.8135817050933838,0.05167338624596596,0.010432186536490917,0.6676009893417358,0.19942831993103027,0.3741868734359741,0.5283433198928833,0.9479669332504272,0.2866470217704773,0.8113046288490295,0.73527592420578,0.9414960145950317,0.8181524872779846,0.7675286531448364,0.34869882464408875,0.9156250357627869,0.5251803398132324,0.9875913262367249,0.6020267605781555,0.27188557386398315,0.3613539934158325,0.5932705998420715,0.7968084216117859,0.2615192234516144,0.2595667839050293,0.7242558002471924,0.14128419756889343,0.014348856173455715,0.7662197351455688,0.4092680513858795,0.25024765729904175,0.7956711649894714,0.6771795153617859,0.6696712970733643,0.06959866732358932,0.5159181356430054,0.5341359376907349,0.4274957776069641,0.5402323603630066,0.8083907961845398,0.2328113168478012,0.15456503629684448,0.7492658495903015,0.830599844455719,0.29284435510635376,0.9929159879684448,0.8984459638595581,0.10678816586732864,0.5237469673156738,0.931678831577301,0.8146601319313049,0.13065043091773987,0.43949559330940247,0.08472929149866104,0.32871803641319275,0.30021774768829346,0.4370437562465668,0.9692081212997437,0.22337906062602997,0.9538281559944153,0.8898159861564636,0.9912816882133484,0.25734570622444153,0.3390926718711853,0.040612686425447464,0.40777286887168884,0.27388545870780945,0.5633322596549988,0.8937721848487854,0.4585898816585541,0.09817985445261002,0.0871412605047226,0.7896239161491394,0.9124543070793152,0.8882893919944763,0.0009103270713239908,0.7897730469703674,0.6042341589927673,0.04749220237135887,0.9171927571296692,0.5052329301834106,0.15187980234622955,0.2438732385635376,0.48668819665908813,0.9424883723258972,0.49599695205688477,0.17377912998199463,0.5794950127601624,0.337164044380188,0.8763792514801025,0.3770604133605957,0.14338913559913635,0.19408412277698517,0.5066477656364441,0.38935044407844543,0.34113746881484985,0.09393434226512909,0.15656913816928864,0.9521868228912354,0.20801718533039093,0.12479262799024582,0.7494767904281616"
00000001,3,"0.637833297252655,0.5602417588233948,0.32515135407447815,0.30002471804618835,0.46938562393188477,0.8211787343025208,0.9752605557441711,0.7640464305877686,0.11379656940698624,0.9889439344406128,0.4987642765045166,0.07974237203598022,0.8739835619926453,0.897638201713562,0.37383899092674255,0.9316352605819702,0.681079626083374,0.7855217456817627,0.06670425832271576,0.07489705085754395,0.7679476141929626,0.8032923340797424,0.7036793231964111,0.9132348299026489,0.3198891580104828,0.15710625052452087,0.8052522540092468,0.4324667453765869,0.6713109612464905,0.5128799080848694,0.9537941217422485,0.26366984844207764,0.8683279156684875,0.9329108595848083,0.8354963660240173,0.04863731935620308,0.8151506781578064,0.6635121703147888,0.9359760880470276,0.34717458486557007,0.14087840914726257,0.5893005132675171,0.1702795922756195,0.9304081797599792,0.3983868658542633,0.6175186038017273,0.3356081545352936,0.7180820107460022,0.20819024741649628,0.8152604103088379,0.2579744756221771,0.3422480821609497,0.8426305651664734,0.896248459815979,0.028484398499131203,0.28131604194641113,0.0493181087076664,0.40270546078681946,0.5909273624420166,0.41027146577835083,0.5711756348609924,0.8223357796669006,0.30021944642066956,0.3534999489784241,0.47227728366851807,0.6981028318405151,0.11694439500570297,0.8766433596611023,0.8331242799758911,0.5579668283462524,0.18051429092884064,0.8774955868721008,0.5829808712005615,0.43378427624702454,0.774135410785675,0.30121153593063354,0.8694233298301697,0.16501551866531372,0.7735820412635803,0.9738268852233887,0.8217148184776306,0.35326167941093445,0.18297232687473297,0.19605493545532227,0.764894425868988,0.07979428768157959,0.7154343128204346,0.8687868118286133,0.8448446989059448,0.7943490743637085,0.8221586346626282,0.2346770316362381,0.027350882068276405,0.4886065721511841,0.5730822682380676,0.0763089582324028,0.992806077003479,0.31302493810653687,0.23769080638885498,0.8678205609321594,0.7174410820007324,0.10509231686592102,0.4609379172325134,0.48457634449005127,0.4476865231990814,0.17967283725738525,0.520551323890686,0.026091421023011208,0.42848971486091614,0.5560905933380127,0.16634133458137512,0.914025604724884,0.13603031635284424,0.6304599642753601,0.30451494455337524,0.16573777794837952,0.8089922070503235,0.27915310859680176,0.908701479434967,0.7917608022689819,0.6781322956085205,0.4464920163154602,0.40159446001052856,0.24283520877361298,0.42886191606521606,0.10994844138622284,0.2837372124195099,0.45720627903938293,0.43451762199401855,0.03166724368929863,0.7325881719589233,0.46864280104637146,0.2821488380432129,0.4328693151473999,0.8598513007164001,0.7089880704879761,0.2947749197483063,0.41253045201301575"
00000001,4,"0.051017239689826965,0.9578700661659241,0.7632681131362915,0.06353069841861725,0.6731540560722351,0.428976833820343,0.104664646089077,0.8533076643943787,0.5634657144546509,0.8858293294906616,0.6859862208366394,0.9147235155105591,0.11456718295812607,0.3371116518974304,0.4369131922721863,0.18594937026500702,0.19588975608348846,0.8513771295547485,0.9053908586502075,0.09770657867193222,0.617490828037262,0.10254556685686111,0.6351652145385742,0.4688993990421295,0.38213661313056946,0.8540557622909546,0.49646425247192383,0.047133706510066986,0.3159676790237427,0.8398618698120117,0.9129828214645386,0.6124395132064819,0.24380150437355042,0.19581863284111023,0.231443852186203,0.9431613087654114,0.9986618161201477,0.4064360558986664,0.7558108568191528,0.786192774772644,0.5306621193885803,0.1276112049818039,0.39540207386016846,0.5505468845367432,0.4086736738681793,0.5493829846382141,0.5208172798156738,0.675511360168457,0.5910314917564392,0.4145295321941376,0.38519877195358276,0.7361074090003967,0.13033746182918549,0.4694986641407013,0.168217733502388,0.5931357741355896,0.5476850867271423,0.39146408438682556,0.662148654460907,0.2480510026216507,0.8106803297996521,0.5428449511528015,0.8462281823158264,0.7899532914161682,0.2701558470726013,0.19321417808532715,0.6419729590415955,0.8824761509895325,0.25671809911727905,0.5457026362419128,0.15874402225017548,0.7844419479370117,0.31477275490760803,0.9005764722824097,0.5967055559158325,0.7848029732704163,0.425435870885849,0.17071887850761414,0.27656474709510803,0.4010844826698303,0.8723986744880676,0.8925037384033203,0.39785468578338623,0.7732800841331482,0.05038050562143326,0.13099218904972076,0.11575795710086823,0.8094449639320374,0.0885317474603653,0.8241215944290161,0.7516340017318726,0.7252858877182007,0.29063430428504944,0.5242035984992981,0.8311852812767029,0.8996394276618958,0.08374936133623123,0.2605910301208496,0.5285024642944336,0.3905000686645508,0.7173580527305603,0.08365249633789062,0.26361748576164246,0.5311803221702576,0.05587334930896759,0.11678453534841537,0.4067683219909668,0.7782447338104248,0.8710845112800598,0.7522796392440796,0.005773631390184164,0.5131165981292725,0.2224026471376419,0.3757132291793823,0.46547558903694153,0.7449699640274048,0.09474729001522064,0.8602772951126099,0.8568919897079468,0.7446460723876953,0.9545809626579285,0.5414881110191345,0.5081810355186462,0.9924261569976807,0.19089311361312866,0.7224302291870117,0.7160320281982422,0.6911299228668213,0.9346839785575867,0.036619119346141815,0.3670380711555481,0.3079833388328552,0.9559714794158936,0.8244422674179077,0.4918570816516876,0.32243573665618896,0.31532880663871765,0.939946711063385"
00000001,5,"0.18445707857608795,0.7312581539154053,0.1859206110239029,0.7068593502044678,0.2567925751209259,0.7750621438026428,0.3801744282245636,0.1418852061033249,0.3415662944316864,0.28603053092956543,0.4795703589916229,0.43954402208328247,0.8742150664329529,0.3200836181640625,0.4034936726093292,0.4570431411266327,0.9473520517349243,0.878879189491272,0.06454652547836304,0.40746644139289856,0.20180118083953857,0.7021639347076416,0.7118281126022339,0.3012601435184479,0.18906380236148834,0.8789797425270081,0.05378619581460953,0.7845781445503235,0.8597762584686279,0.514358639717102,0.8414669036865234,0.46738842129707336,0.12731897830963135,0.5913041830062866,0.29669860005378723,0.9630059003829956,0.608871579170227,0.39335301518440247,0.851547122001648,0.04347258061170578,0.9751644134521484,0.13449500501155853,0.8224537968635559,0.5768017768859863,0.061772845685482025,0.610485315322876,0.2197306603193283,0.6382762789726257,0.5973094701766968,0.32145577669143677,0.5458304286003113,0.4229815602302551,0.06866873800754547,0.5042138695716858,0.7108744978904724,0.18115954101085663,0.4966951608657837,0.9415591359138489,0.4311690628528595,0.7798789739608765,0.0017285158392041922,0.2847275733947754,0.20464614033699036,0.3940265476703644,0.3608991801738739,0.8896710872650146,0.03873080015182495,0.7253820300102234,0.7773251533508301,0.0030014447402209044,0.9237998723983765,0.7870224714279175,0.6039296388626099,0.3070860207080841,0.6135132312774658,0.30248454213142395,0.954168975353241,0.7173498868942261,0.2372458279132843,0.4113163650035858,0.7753203511238098,0.7282459139823914,0.38672688603401184,0.5829263925552368,0.8549293279647827,0.14355704188346863,0.9714896082878113,0.5556516051292419,0.9604814648628235,0.8802513480186462,0.7267925143241882,0.12928619980812073,0.8739044070243835,0.5045819282531738,0.2199782133102417,0.6594142317771912,0.7230783700942993,0.5717012286186218,0.7821207642555237,0.24933534860610962,0.4722369313240051,0.35440587997436523,0.44497591257095337,0.887496829032898,0.6099566221237183,0.6293980479240417,0.0842893198132515,0.36603397130966187,0.22086414694786072,0.009709905833005905,0.8270297646522522,0.5782290697097778,0.7824658155441284,0.08307594805955887,0.5515301823616028,0.5758224725723267,0.1402784287929535,0.8283681869506836,0.25648432970046997,0.49885791540145874,0.456299364566803,0.17109377682209015,0.29426905512809753,0.16839292645454407,0.7850548624992371,0.053713005036115646,0.024861140176653862,0.8302005529403687,0.2795838713645935,0.8865684866905212,0.6069056987762451,0.7823688983917236,0.7546912431716919,0.7181915044784546,0.5690990686416626,0.100379079580307,0.38045641779899597,0.9121896028518677"
00000001,6,"0.7859869599342346,0.2768596112728119,0.2410338819026947,0.19904465973377228,0.4900801181793213,0.16646689176559448,0.2029048353433609,0.8888044953346252,0.3782397508621216,0.5021513104438782,0.9711083173751831,0.21976006031036377,0.12829694151878357,0.7969983220100403,0.16668012738227844,0.6085241436958313,0.9911075830459595,0.41572102904319763,0.4854579567909241,0.7341464161872864,0.11954004317522049,0.05923810601234436,0.878824770450592,0.7530964612960815,0.7590204477310181,0.510723352432251,0.3139963448047638,0.08443768322467804,0.9398146271705627,0.18378126621246338,0.2707696557044983,0.11932345479726791,0.18164615333080292,0.22380974888801575,0.4476146399974823,0.18392878770828247,0.45266273617744446,0.38427600264549255,0.23738808929920197,0.4411720931529999,0.9381299614906311,0.6210799813270569,0.3798711597919464,0.6722207069396973,0.40293750166893005,0.39529862999916077,0.2835725247859955,0.42329344153404236,0.19360025227069855,0.6460433006286621,0.7656447291374207,0.58150714635849,0.5770224332809448,0.160624697804451,0.7154842019081116,0.2051316648721695,0.3485329747200012,0.6923021674156189,0.48189422488212585,0.3913843333721161,0.7741615772247314,0.8578367233276367,0.7905570268630981,0.30254459381103516,0.20151956379413605,0.6234104633331299,0.061902306973934174,0.49303749203681946,0.1481981724500656,0.7627885937690735,0.3143235445022583,0.5663934946060181,0.9101447463035583,0.8457402586936951,0.963953971862793,0.27435559034347534,0.938723623752594,0.38509657979011536,0.9002410173416138,0.39516139030456543,0.589128851890564,0.726811945438385,0.13124269247055054,0.4750864505767822,0.6653951406478882,0.5311814546585083,0.376637727022171,0.19889523088932037,0.36836984753608704,0.7086283564567566,0.05481342971324921,0.5379498600959778,0.09653793275356293,0.37563562393188477,0.8886866569519043,0.011822260916233063,0.9720760583877563,0.6115028262138367,0.7344446778297424,0.8097890615463257,0.40395522117614746,0.6350774168968201,0.5239482522010803,0.9601873755455017,0.06071772053837776,0.5333558320999146,0.6355865001678467,0.6603720188140869,0.7203301787376404,0.6291531920433044,0.7046905159950256,0.7494515180587769,0.904823899269104,0.5576604604721069,0.05837903171777725,0.5653738379478455,0.39364752173423767,0.29360777139663696,0.6493043303489685,0.45389702916145325,0.7303746938705444,0.07505759596824646,0.17398522794246674,0.2293470799922943,0.15920212864875793,0.5423359274864197,0.7712487578392029,0.8448947668075562,0.12252648174762726,0.20996809005737305,0.6744517087936401,0.0885167270898819,0.6426204442977905,0.04615864157676697,0.8143972754478455,0.4226929247379303,0.9176755547523499,0.35504066944122314"
00000001,7,"0.2675553560256958,0.9079333543777466,0.16506142914295197,0.5653291344642639,0.18615514039993286,0.9084873199462891,0.09273805469274521,0.16739772260189056,0.47700971364974976,0.06747450679540634,0.8735864162445068,0.9212625622749329,0.6981757879257202,0.4146222472190857,0.28029194474220276,0.9340097308158875,0.07915045320987701,0.9824991226196289,0.872273325920105,0.707106351852417,0.4344557523727417,0.882821261882782,0.7676753401756287,0.24310298264026642,0.4342343211174011,0.9784277081489563,0.22519946098327637,0.3324650824069977,0.15290509164333344,0.29036715626716614,0.8940616250038147,0.2669653296470642,0.21073907613754272,0.751922607421875,0.7690955996513367,0.7598240375518799,0.17253631353378296,0.34594935178756714,0.6994699239730835,0.24161718785762787,0.5363053679466248,0.04414159804582596,0.9210842847824097,0.1320851594209671,0.9821677207946777,0.5702444911003113,0.5493574142456055,0.20314541459083557,0.14368505775928497,0.906260073184967,0.08964645117521286,0.6782932281494141,0.7088724970817566,0.046513594686985016,0.877206027507782,0.4182808995246887,0.16043318808078766,0.3293752074241638,0.45219528675079346,0.04031221196055412,0.6824378371238708,0.19985705614089966,0.6580050587654114,0.0759664997458458,0.1024991124868393,0.25649282336235046,0.20736266672611237,0.21555620431900024,0.8362083435058594,0.3941597640514374,0.2537311911582947,0.24488075077533722,0.8570269346237183,0.00013159061199985445,0.4888277053833008,0.39446765184402466,0.45284488797187805,0.4366088807582855,0.6261418461799622,0.5712212920188904,0.8455458283424377,0.9247789978981018,0.43915969133377075,0.5663952231407166,0.5043927431106567,0.7745468020439148,0.5916606783866882,0.8642885088920593,0.9079926609992981,0.9277610778808594,0.3361901640892029,0.6898548603057861,0.05146230757236481,0.26350629329681396,0.0037293846253305674,0.28468844294548035,0.6430752277374268,0.49425777792930603,0.6511541604995728,0.29491499066352844,0.29001322388648987,0.6646134853363037,0.8166253566741943,0.01905594952404499,0.26836511492729187,0.4659961760044098,0.5415984988212585,0.02639438584446907,0.7884225845336914,0.4580753445625305,0.03963847458362579,0.6056538820266724,0.7866576313972473,0.8316206932067871,0.7857127785682678,0.1501917839050293,0.9889015555381775,0.04112398251891136,0.8728275895118713,0.002641248283907771,0.11244671046733856,0.04715181142091751,0.9168550968170166,0.4504772424697876,0.3434208631515503,0.6365721821784973,0.35146498680114746,0.595923125743866,0.5608882308006287,0.18935082852840424,0.4982127249240875,0.37898898124694824,0.6383381485939026,0.6243868470191956,0.04219520837068558,0.8431183695793152,0.7236630916595459,0.062184758484363556"
00000001,8,"0.927863597869873,0.5659034252166748,0.9273993372917175,0.2791431248188019,0.8846794962882996,0.16638138890266418,0.46200528740882874,0.8645933866500854,0.33519479632377625,0.13288705050945282,0.7951584458351135,0.8972106575965881,0.6295055150985718,0.05665801465511322,0.3019052743911743,0.5191288590431213,0.3218575119972229,0.6937538385391235,0.0745343491435051,0.5466417074203491,0.5968912839889526,0.5647587180137634,0.5494644641876221,0.8534280061721802,0.7516562938690186,0.022279096767306328,0.8678766489028931,0.6204764246940613,0.5415159463882446,0.3734900951385498,0.7036126852035522,0.36074119806289673,0.1553991436958313,0.3995688259601593,0.1341613084077835,0.7883925437927246,0.6395573019981384,0.0637538954615593,0.22667287290096283,0.7466053366661072,0.38485991954803467,0.6147156357765198,0.04813056439161301,0.2765513062477112,0.21844737231731415,0.47664156556129456,0.7235648036003113,0.2785743176937103,0.08576925843954086,0.15456539392471313,0.7819661498069763,0.8125208616256714,0.10071803629398346,0.8535538911819458,0.03082984685897827,0.6743097305297852,0.8624753952026367,0.3231532573699951,0.40228238701820374,0.8564161658287048,0.9499925374984741,0.7340270280838013,0.34283795952796936,0.7086995244026184,0.11959008127450943,0.8022785186767578,0.24685457348823547,0.06901483237743378,0.2827502489089966,0.6145612597465515,0.8057783842086792,0.7609460949897766,0.7125396132469177,0.9071420431137085,0.1789771467447281,0.02411825954914093,0.4322299659252167,0.25302842259407043,0.8446386456489563,0.3055424690246582,0.48447078466415405,0.5226258039474487,0.5815140008926392,0.911929190158844,0.2834170460700989,0.05490972101688385,0.05851179361343384,0.10873394459486008,0.3037557303905487,0.1062784492969513,0.4280560314655304,0.16278691589832306,0.18806082010269165,0.5920569896697998,0.38768699765205383,0.7188095450401306,0.8012741804122925,0.5181748867034912,0.02662733383476734,0.15294338762760162,0.9439326524734497,0.12931418418884277,0.12851552665233612,0.9238967299461365,0.5377916097640991,0.32087019085884094,0.29380759596824646,0.845826268196106,0.18078432977199554,0.004870608448982239,0.41340968012809753,0.7925184965133667,0.8657622337341309,0.7403220534324646,0.29207849502563477,0.8245558142662048,0.6501302719116211,0.2814304828643799,0.9097838997840881,0.6800412535667419,0.47203484177589417,0.515720546245575,0.01692107692360878,0.8134779334068298,0.9073880314826965,0.9692864418029785,0.49474817514419556,0.06616392731666565,0.8776726722717285,0.18063080310821533,0.3260422348976135,0.8899539113044739,0.7731877565383911,0.6380822658538818,0.1921466737985611,0.31360384821891785,0.08580747246742249,0.5792554020881653"
00000001,9,"0.6237801909446716,0.12712647020816803,0.506228506565094,0.2885572016239166,0.323270320892334,0.31756189465522766,0.11209755390882492,0.5101234912872314,0.01365386601537466,0.3662545680999756,0.9878025054931641,0.7053421139717102,0.4458663761615753,0.9944979548454285,0.5055387616157532,0.47357654571533203,0.9107040166854858,0.7494543790817261,0.6336199641227722,0.3800540566444397,0.01927543804049492,0.4985833764076233,0.17662125825881958,0.5458433032035828,0.3130576014518738,0.48248061537742615,0.46894586086273193,0.3418414294719696,0.22451549768447876,0.18279126286506653,0.6551504135131836,0.5694352984428406,0.02882103994488716,0.7982981204986572,0.21452197432518005,0.5956317782402039,0.8739006519317627,0.4968416392803192,0.7883532047271729,0.6970422267913818,0.9110206365585327,0.5067568421363831,0.18163591623306274,0.8259841799736023,0.461515873670578,0.3473062217235565,0.3612368404865265,0.44403180480003357,0.0568908229470253,0.9551264047622681,0.9007551670074463,0.9649341106414795,0.9978859424591064,0.3234592080116272,0.3922300636768341,0.3561285138130188,0.16986127197742462,0.7299161553382874,0.01786254160106182,0.6748263239860535,0.5085171461105347,0.15200385451316833,0.8023643493652344,0.8988429307937622,0.353821337223053,0.06046059727668762,0.13748130202293396,0.8431404829025269,0.597710371017456,0.3547445237636566,0.2489917278289795,0.9897924661636353,0.13335944712162018,0.04040227457880974,0.3545279800891876,0.8284112811088562,0.850691556930542,0.7422558665275574,0.5971604585647583,0.25584104657173157,0.28706708550453186,0.17903587222099304,0.07255686819553375,0.9819934368133545,0.9226188659667969,0.2241235077381134,0.32215943932533264,0.7901323437690735,0.24679122865200043,0.5178849101066589,0.46711763739585876,0.20037928223609924,0.09033732116222382,0.5937511920928955,0.9717587232589722,0.7060636878013611,0.2513127624988556,0.11470974236726761,0.7357076406478882,0.16549837589263916,0.40129417181015015,0.20585408806800842,0.8177468776702881,0.7559298276901245,0.6939200758934021,0.006733872462064028,0.47284841537475586,0.5085903406143188,0.20624925196170807,0.3243717551231384,0.4767741858959198,0.2921479642391205,0.8694567084312439,0.08233755081892014,0.5854398012161255,0.9788056015968323,0.955772340297699,0.6035797595977783,0.42111435532569885,0.36586910486221313,0.8843815326690674,0.8544996976852417,0.769700825214386,0.3663131594657898,0.07770521193742752,0.6570544242858887,0.7009089589118958,0.1499902755022049,0.31050121784210205,0.548294186592102,0.369265079498291,0.3933861553668976,0.4134838283061981,0.3609837293624878,0.14414221048355103,0.5569487810134888,0.3252331018447876,0.9809817671775818"
